,Eastings,Northings,TVD,Azimuth[rad],Inclination[rad]
134,2592.073923129167,1496.5363063036395,4396.3256,0.5235992361051903,1.2218325449442107
135,2669.4981000394514,1541.2372360715092,4429.134,0.5235993605600666,1.2190779355550911
136,2746.1604699713644,1585.4983479818218,4461.9424,0.5235994799208252,1.215867863405231
137,2821.9636495710556,1629.2634168956952,4494.7508,0.5235995944939253,1.2121794644228026
138,2896.810255484676,1672.476217674246,4527.5592,0.5235997045616895,1.2079858003619048
139,2970.602904358378,1715.0805251785916,4560.3676,0.523599810384681,1.203255370669425
140,3043.244212838311,1757.0201142698497,4593.176,0.5235999122037527,1.1979515218271737
141,3114.6367975706257,1798.238759809138,4625.9844,0.5236000102418517,1.192031734117301
142,3184.6832752014743,1838.6802366575728,4658.7928,0.5236001047056459,1.185446760701502
143,3253.286262377007,1878.2883196762718,4691.6012,0.5236001957870384,1.1781395875466683
144,3320.3483757433746,1917.0067837263518,4724.4096,0.5236002836643845,1.1700441747039476
145,3385.772231946729,1954.7794036689315,4757.218,0.5236003685037377,1.1610839292902877
146,3449.46044763322,1991.5499543651267,4790.0264,0.5236004504598124,1.151169847649784
147,3511.3156394489984,2027.262210676056,4822.8348,0.5236005296770154,1.1401982478748396
148,3571.2404240402166,2061.859947462836,4855.6431999999995,0.5236006062901689,1.128047993302185
149,3629.1374180530242,2095.2869395865837,4888.4516,0.5236006804254514,1.1145770818385514
150,3684.909238133572,2127.4869619084175,4921.26,0.5236007522009023,1.0996184441257972
151,3738.4585009280117,2158.4037892894535,4954.0684,0.5236008217271318,1.0829747550856366
152,3789.687823082495,2187.981196590809,4986.8768,0.5236008891079165,1.064412018769617
153,3838.499821243171,2216.162958673602,5019.6852,0.5236009544406472,1.0436516385549899
154,3884.797112056191,2242.8928503989496,5052.4936,0.5236010178167704,1.0203606415927413
155,3928.482312167707,2268.1146466279693,5085.302,0.5236010793222349,0.9941397065194522
156,3969.458038223869,2291.7721222217783,5118.1104,0.5236011390378185,0.9645086858616754
157,4007.626906870829,2313.809052041493,5150.9188,0.5236011970394099,0.9308894975814833
158,4042.891534754736,2334.169210948233,5183.7272,0.5236012533983159,0.8925867343607069
159,4075.154538521743,2352.796373803113,5216.5356,0.5236013081811539,0.8487673817997827
160,4104.3185348179995,2369.634315467252,5249.344,0.5236013614501764,0.7984431302054892
161,4130.286140289657,2384.626810801766,5282.1524,0.523601413262675,0.7404626732905104
162,4152.959971582866,2397.7176346677734,5314.9608,0.523601463670258,0.6735281098025044
163,4172.242645343779,2408.8505619263915,5347.7692,0.5236015127166883,0.5962597895814737
164,4188.036778218545,2417.9693674387368,5380.5776,0.5236015604324654,0.5073461541118968
165,4200.244986853315,2425.0178260659272,5413.3859999999995,0.5236016068188346,0.40582113880937837
166,4208.769887894241,2429.93971266908,5446.1944,0.5236016517875428,0.29149046664558637
167,4213.514097987474,2432.678802109312,5479.0028,0.5236016948061682,0.16544773105022104
